Prefix,File_000001,File_000002,File_000003,File_000004
eval_results_Qwen2-VL-7B-Instruct_64frames_all_1023_score_uca,38.63333333333333,38.526666666666664,37.53333333333333,38.15
eval_results_lmms-lab--llava-onevision-qwen2-7b-ov_64frames_all_1023_score_uca,41.026666666666664,41.5,39.85,39.78333333333333
eval_results_OpenGVLab--InternVL2-8B_64frames_all_1023_score_uca,40.71666666666667,38.15,37.733333333333334,40.166666666666664
eval_results_OpenGVLab--InternVL2-26B_64frames_all_1023_score_uca,53.89333333333333,52.17666666666667,52.733333333333334,52.3
eval_results_OpenGVLab--InternVL2-40B_64frames_all_1023_score_uca,44.68333333333333,43.666666666666664,42.416666666666664,44.43333333333333
eval_results_OpenGVLab--InternVL2-1B_64frames_all_1023_score_uca,9.456666666666667,8.45,8.416666666666666,7.633333333333334
eval_results_qwen-vl2-2B_64frames_all_1023_score_uca,31.816666666666666,32.53333333333333,32.11,31.45
